title,id,views,views-2020-01-01
Beyond Higgs: The Wild Frontier of Particle Physics,no3qLqUYBLo,397569,0
Making Room for Machines: Getting Ready for AGI,ps0NSRFEAE4,33133,5
We Will Be Martians,oCrnA4bYCag,35925,2
Outsourcing Humanity: Do Algorithms Make Better Decisions Than People?,qLMLV_7hMOQ,21526,3
Rethinking Thinking: How Intelligent Are Other Animals?,tdsVRh9oKiE,83786,6
The Richness of Time,1FJWvEbeBps,615073,3
Eyes In the Skies: Bringing the Universe Down to Earth,w18y4iQtca0,45008,25357
The Technology That Transforms Us: From the Stone Age to the Computer Age,EEhI-n_MgbY,25378,17830
Intelligence Without Brains,RpwW9Lw2Ku4,97308,68369
Physics in the Dark: Searching for the Universeâ€™s Missing Matter,1VajnuxMJmU,440006,172608
On the Shoulders of Giants: Shep Doeleman,KHa0X4y3ulw,42423,28165
The Reality of Reality: A Tale of Five Senses,S1jn86eUX0E,181045,111362
On the Shoulders of Giants: Andrew Strominger,5GrjjCVk6cA,94526,86680
The Science of Extreme Behavior: The Line Between Courageous and Crazy,HPEi_CZIhuA,17944,15364
Can We â€˜Cureâ€™ Deafness and Blindness? Should We?,iI9C0R3_bq0,10888,8740
Revealing the Mind: The Promise of Psychedelics,Fi66wFfOC-4,970719,233986
Loose Ends: String Theory and the Quest for the Ultimate Theory,YSWd21z2qqE,890613,349670
The Right Stuff: What It Takes to Boldly Go,Hzy7ukTQQ_Y,30093,26825
"The Believing Brain: Evolution, Neuroscience, and the Spiritual Instinct",p0_-7FmrDq8,143550,106634
Alien Contact: What Happens Next?,PTqLPvBz8xc,554461,280078
Rethinking the Internet: How We Lost Control and How to Take it Back,slsX_wihgCY,21438,19748
How Music Affects Your Brain: Notes on the Folds,-FreyS3HOeU,22191,19718
Rewriting Life: The Promise and Peril of Editing Your DNA,KRlJzNj6k3E,36175,33920
"Neutrinos, Matter, and Antimatter: The Yin Yang of the Big Bang",NatV7LonIwk,71433,56796
Harnessing the Power of Neuroplasticity: The Nuts and Bolts of Better Brains,59ODYOaUbX4,200492,161823
RESISTANCE IS (NOT) FUTILE: THE END OF ANTIBIOTICS AND THE FUTURE OF FIGHTING INFECTIONS,Sqp1cP35og8,16283,13768
Teach Your Robots Well: Will Self-taught Robots Be the End of Us?,IHc5Zt7qT6o,655029,425989
Black Holes and Neutron Stars: A Merger in Space,raRe8GzZlUs,62764,55927
Is Alien â€˜lifeâ€™ Weirder Than We Imagine: Who Is Out There?,kT9GqvgipOQ,470911,212229
Growing Up Digital: Coming of Age in a Virtual World,ndTDLOcYHRM,11450,10331
The Roots of Extremism in Your Brain,gLNrNWBsDnc,21704,18002
The Microbiome: Vital Cells of Existence,eIPbtxDwXgI,25464,21899
The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,qMMgsjnI1is,2830289,1068573
Pondering the Imponderables: The Biggest Questions of Cosmology,daEH2qkChFI,425259,338899
The Social Synapse: Neuroscience and the Roots of Human Connections,sCXlaOKOczk,46112,34540
Cartographers of the Brain: Mapping the Connectome,OoU_GF4fc6w,68084,58202
"Quantum Reality: Space, Time, and Entanglement",BFrBr8oUVXU,3072716,1556093
Computational Creativity: AI and the Art of Ingenuity,CZ1200kMl4A,36707,34561
Forever Young: The Promise of Human Regeneration,e0vKOYQUmgg,73549,55993
"The Future of Augmented Intelligence: If You Canâ€™t Beat â€˜em, Join â€˜em",O4k2hI1pqns,31453,29851
Engineering Immortality: the End of Aging?,QqPXGXuWyNE,36672,29301
